Age,Gender,Weight_kg,Height_cm,BMI,Activity_Level,Exercise_Type,MET,Target_Calories,Duration_minutes
38,Female,58.2,161.3,22.4,Lightly Active,Running,8.0,654,73.0
48,Male,65.0,178.2,20.5,Sedentary,Cycling,6.0,504,71.3
57,Female,46.6,159.8,18.3,Lightly Active,Walking,3.5,630,180.0
39,Female,58.9,,,Very Active,Walking,3.5,632,175.7
54,Female,65.0,156.6,26.5,Sedentary,Running,8.0,535,63.4
40,Female,56.6,156.8,23.0,Sedentary,Yoga,2.5,249,103.8
37,Male,61.0,170.7,20.9,Moderately Active,Walking,3.5,501,125.4
37,Male,44.0,173.2,14.7,Moderately Active,Walking,3.5,376,131.2
23,Male,62.7,168.0,22.2,Sedentary,Yoga,2.5,480,174.7
18,Male,62.6,183.9,18.5,Lightly Active,Walking,3.5,311,84.2
22,Female,52.8,158.3,21.1,Lightly Active,Cycling,6.0,621,126.8
28,Female,42.7,154.7,17.8,Lightly Active,Cycling,6.0,673,154.1
37,Male,50.3,179.7,15.6,Sedentary,Swimming,7.0,476,83.9
32,Female,50.4,152.4,21.7,Sedentary,Yoga,2.5,334,150.9
49,Female,61.5,160.5,23.9,Sedentary,Walking,3.5,290,69.6
42,Female,53.5,,19.7,Sedentary,Walking,3.5,362,109.8
48,Male,66.7,174.2,22.0,Moderately Active,Walking,3.5,500,134.5
60,Female,58.3,154.2,24.5,Moderately Active,Running,8.0,571,69.0
22,Female,63.1,153.3,26.8,Sedentary,Cycling,6.0,172,20.9
25,Female,51.8,158.7,20.6,Very Active,Walking,3.5,602,173.1
33,Female,40.0,,15.9,Sedentary,Running,8.0,269,49.2
46,Male,60.1,165.9,21.8,Moderately Active,Cycling,6.0,511,82.7
54,Male,,163.9,25.1,Very Active,Walking,3.5,519,124.8
56,Male,67.6,171.7,22.9,Lightly Active,Walking,3.5,356,91.6
42,Female,63.3,157.0,25.7,Lightly Active,Walking,3.5,192,41.4
26,Female,59.0,159.3,23.2,Lightly Active,Walking,3.5,232,65.0
31,Female,51.8,157.3,20.9,Sedentary,Walking,3.5,661,180.0
29,Male,65.8,169.4,22.9,Sedentary,Running,8.0,314,38.7
49,Male,76.2,168.8,26.7,Moderately Active,Swimming,7.0,484,59.8
60,Male,78.9,167.5,28.1,Lightly Active,Yoga,2.5,543,159.2
37,Male,79.9,171.0,27.3,Very Active,Walking,3.5,182,38.0
58,Female,61.3,161.8,23.4,Sedentary,Walking,3.5,204,53.1
33,Female,57.4,162.9,21.6,Very Active,Walking,3.5,153,38.5
43,Male,66.8,168.3,,Lightly Active,Running,8.0,553,58.8
23,Female,53.0,,20.6,Moderately Active,Running,8.0,461,70.6
30,Male,57.7,177.6,18.3,Moderately Active,Yoga,2.5,571,180.0
19,Female,61.7,163.9,23.0,Lightly Active,Cycling,6.0,502,71.1
47,Female,50.4,158.6,20.0,Lightly Active,Swimming,7.0,465,71.6
52,Female,52.2,152.1,22.6,Lightly Active,Walking,3.5,198,59.3
27,Female,52.9,160.4,20.6,Sedentary,Cycling,6.0,551,103.1
51,Female,45.8,166.5,16.5,Sedentary,Walking,3.5,555,180.0
56,Male,,163.9,20.0,Moderately Active,Cycling,6.0,389,71.1
38,Male,56.0,165.6,20.4,Sedentary,Running,8.0,501,64.4
41,Male,66.5,160.8,25.7,Lightly Active,Swimming,7.0,554,74.2
31,Male,72.9,169.5,25.4,Lightly Active,Running,8.0,395,43.0
54,Female,61.9,146.1,29.0,Sedentary,Walking,3.5,447,112.2
55,Female,51.0,146.9,23.6,Lightly Active,Walking,3.5,198,63.1
27,Female,60.7,165.0,22.3,Moderately Active,Walking,3.5,625,175.4
48,Male,60.4,158.6,24.0,Sedentary,Swimming,7.0,257,39.2
43,Female,54.8,157.6,22.1,Sedentary,Yoga,2.5,167,74.4
24,Male,45.0,171.4,15.3,Moderately Active,Walking,3.5,473,171.9
44,Female,57.3,,21.6,Lightly Active,Walking,3.5,498,130.9
46,Male,73.5,162.8,27.7,Lightly Active,Walking,3.5,377,91.0
59,Female,58.6,160.4,22.8,Lightly Active,Walking,3.5,688,180.0
59,Male,67.5,160.7,26.1,Sedentary,Walking,3.5,390,92.3
37,Male,71.7,160.1,28.0,Sedentary,Swimming,7.0,577,47.6
45,Male,77.0,184.3,22.7,Moderately Active,Swimming,7.0,558,63.1
58,Female,54.8,167.5,19.5,Moderately Active,Walking,3.5,669,180.0
34,Female,55.1,155.3,22.9,Sedentary,Walking,3.5,278,82.2
21,Female,53.8,163.0,20.3,Moderately Active,Swimming,7.0,538,86.6
41,Female,74.1,161.9,28.3,Sedentary,Swimming,7.0,342,39.8
25,Male,43.0,178.2,13.6,Lightly Active,Walking,3.5,278,103.1
47,Female,49.1,163.8,18.3,Sedentary,Swimming,7.0,152,25.9
20,Female,53.7,164.1,19.9,Moderately Active,Walking,3.5,242,69.2
51,Male,53.6,180.5,16.4,Sedentary,Walking,3.5,656,180.0
18,Female,41.5,165.6,15.1,Sedentary,Running,8.0,586,100.9
36,Female,55.0,,21.1,Lightly Active,Running,8.0,508,66.6
45,Female,55.3,156.0,22.7,Lightly Active,Running,8.0,402,60.0
52,Female,54.3,163.9,20.2,Sedentary,Walking,3.5,423,125.2
34,Male,53.5,,18.8,Moderately Active,Walking,3.5,282,77.9
55,Female,51.0,150.5,22.5,Lightly Active,Cycling,6.0,579,116.0
51,Female,54.8,154.3,23.0,Lightly Active,Running,8.0,659,83.9
42,Male,60.3,180.1,18.6,Lightly Active,Swimming,7.0,432,61.5
47,Female,47.6,158.8,18.9,Sedentary,Cycling,6.0,206,36.5
22,Male,81.1,181.2,,Very Active,Walking,3.5,152,34.2
35,Male,64.5,168.1,22.8,Lightly Active,Swimming,7.0,513,62.5
22,Male,66.3,174.9,21.7,Sedentary,Running,8.0,430,45.0
40,Female,50.0,155.3,20.7,Moderately Active,Running,8.0,163,29.1
21,Male,64.4,169.9,22.3,Sedentary,Walking,3.5,296,84.0
25,Male,72.8,178.2,22.9,Moderately Active,Walking,3.5,447,101.6
40,Female,62.7,154.1,26.4,Moderately Active,Cycling,6.0,189,32.9
58,Male,77.7,171.4,26.5,Moderately Active,Swimming,7.0,604,66.9
43,Male,79.0,171.7,26.8,Lightly Active,Cycling,6.0,511,66.3
59,Male,63.6,179.9,19.7,Moderately Active,Yoga,2.5,474,166.3
58,Female,71.8,159.9,28.1,Lightly Active,Swimming,7.0,365,46.3
44,Male,53.7,184.4,15.8,Moderately Active,Walking,3.5,366,115.0
53,Male,62.3,178.2,19.6,Lightly Active,Cycling,6.0,344,59.1
27,Female,57.9,156.0,23.8,Very Active,Cycling,6.0,222,29.9
46,Male,51.5,167.4,18.4,Sedentary,Yoga,2.5,323,141.5
49,Male,67.0,167.2,23.9,Very Active,Yoga,2.5,613,180.0
38,Female,58.1,158.0,23.3,Lightly Active,Walking,3.5,193,56.2
39,Male,69.2,169.2,24.2,Moderately Active,Walking,3.5,423,94.3
44,Female,68.4,154.8,28.5,Sedentary,Running,8.0,204,26.9
32,Female,59.8,164.9,22.0,Sedentary,Running,8.0,464,54.8
34,Male,,178.6,21.3,Moderately Active,Walking,3.5,296,68.5
43,Female,46.3,161.7,17.7,Very Active,Walking,3.5,192,70.2
31,Male,47.7,174.1,15.7,Very Active,Walking,3.5,273,93.9
43,Female,47.3,158.0,18.9,Moderately Active,Walking,3.5,272,98.4
35,Male,62.1,177.4,19.7,Lightly Active,Walking,3.5,504,137.5
35,Female,58.5,153.1,24.9,Lightly Active,Running,8.0,172,17.7
23,Male,64.1,169.7,22.2,Moderately Active,Running,8.0,678,74.5
53,Male,69.7,170.9,23.9,Lightly Active,Cycling,6.0,517,72.3
42,Male,69.1,165.4,25.3,Lightly Active,Cycling,6.0,217,32.9
49,Male,68.6,,24.4,Sedentary,Running,8.0,682,65.9
35,Male,73.1,158.6,29.1,Moderately Active,Walking,3.5,581,132.4
34,Male,82.0,163.4,30.7,Sedentary,Walking,3.5,647,135.1
55,Female,,159.7,18.8,Sedentary,Running,8.0,241,38.6
18,Female,48.1,154.9,20.1,Sedentary,Walking,3.5,542,180.0
49,Female,52.0,155.4,21.5,Moderately Active,Walking,3.5,168,51.8
55,Female,55.3,159.8,21.7,Sedentary,Swimming,7.0,446,72.5
46,Male,73.5,162.8,27.7,Lightly Active,Walking,3.5,377,91.0
56,Male,65.7,168.5,,Lightly Active,Walking,3.5,220,62.2
45,Female,54.9,153.9,23.2,Moderately Active,Cycling,6.0,217,36.6
31,Female,60.2,,25.6,Lightly Active,Swimming,7.0,234,29.2
30,Female,59.1,159.2,23.3,Lightly Active,Cycling,6.0,201,34.7
45,Female,63.4,155.8,26.1,Sedentary,Cycling,6.0,242,37.5
54,Female,52.6,157.8,21.2,Moderately Active,Swimming,7.0,260,38.3
25,Male,63.6,175.1,20.8,Very Active,Swimming,7.0,566,66.0
54,Male,54.4,167.6,19.4,Sedentary,Swimming,7.0,585,83.8
26,Female,60.0,163.7,22.4,Sedentary,Walking,3.5,597,157.5
43,Male,80.3,182.5,24.1,Lightly Active,Walking,3.5,415,87.0
56,Female,57.1,156.3,23.4,Sedentary,Walking,3.5,687,180.0
19,Female,49.8,160.3,19.4,Sedentary,Walking,3.5,159,52.7
36,Female,46.5,151.7,20.2,Moderately Active,Walking,3.5,546,180.0
45,Female,40.0,162.4,15.2,Sedentary,Swimming,7.0,675,143.7
39,Female,62.8,167.3,22.4,Moderately Active,Running,8.0,309,35.8
27,Female,55.1,156.9,22.4,Very Active,Walking,3.5,439,125.4
